Name,Group1 Count,Group1 Name,Group1 Percentage,Group2 Count,Group2 Name,Group2 Percentage,Group3 Count,Group3 Name,Group3 Percentage,Group4 Count,Group4 Name,Group4 Percentage,MaxResponseTime Ok,MaxResponseTime Ko,MaxResponseTime Total,MeanNumberOfRequestsPerSecond Ok,MeanNumberOfRequestsPerSecond Ko,MeanNumberOfRequestsPerSecond Total,MeanResponseTime Ok,MeanResponseTime Ko,MeanResponseTime Total,MinResponseTime Ok,MinResponseTime Ko,MinResponseTime Total,NumberOfRequests Ok,NumberOfRequests Ko,NumberOfRequests Total,Percentiles1 Ok,Percentiles1 Ko,Percentiles1 Total,Percentiles2 Ok,Percentiles2 Ko,Percentiles2 Total,Percentiles3 Ok,Percentiles3 Ko,Percentiles3 Total,Percentiles4 Ok,Percentiles4 Ko,Percentiles4 Total,StandardDeviation Ok,StandardDeviation Ko,StandardDeviation Total
[GET] Open assigned activity Redirect 1 - ,2099,t < 800 ms - ,100,0,800 ms < t < 1200 ms - ,0,1,t > 1200 ms - ,0,0,failed - ,0,1316.000000,0.000000,1316.000000,0.937500,0.000000,0.937500,238.000000,0.000000,238.000000,185.000000,0.000000,185.000000,2100.000000,0.000000,2100.000000,229.000000,0.000000,229.000000,287.000000,0.000000,287.000000,306.000000,0.000000,306.000000,353.000000,0.000000,353.000000,42.000000,0.000000,42.000000
[GET] Messages Outbox - ,2518,t < 800 ms - ,100,0,800 ms < t < 1200 ms - ,0,0,t > 1200 ms - ,0,0,failed - ,0,249.000000,0.000000,249.000000,1.124107,0.000000,1.124107,130.000000,0.000000,130.000000,102.000000,0.000000,102.000000,2518.000000,0.000000,2518.000000,122.000000,0.000000,121.000000,166.000000,0.000000,166.000000,178.000000,0.000000,178.000000,198.000000,0.000000,198.000000,23.000000,0.000000,23.000000
[GET] [teacher] Export gradebook for Excel - ,200,t < 800 ms - ,100,0,800 ms < t < 1200 ms - ,0,0,t > 1200 ms - ,0,0,failed - ,0,184.000000,0.000000,184.000000,0.089286,0.000000,0.089286,95.000000,0.000000,95.000000,72.000000,0.000000,72.000000,200.000000,0.000000,200.000000,88.000000,0.000000,88.000000,125.000000,0.000000,125.000000,134.000000,0.000000,134.000000,168.000000,0.000000,168.000000,21.000000,0.000000,21.000000
[GET] teacher 4 Level - ,130,t < 800 ms - ,100,0,800 ms < t < 1200 ms - ,0,0,t > 1200 ms - ,0,0,failed - ,0,209.000000,0.000000,209.000000,0.058036,0.000000,0.058036,120.000000,0.000000,120.000000,90.000000,0.000000,90.000000,130.000000,0.000000,130.000000,114.000000,0.000000,114.000000,151.000000,0.000000,151.000000,171.000000,0.000000,171.000000,189.000000,0.000000,189.000000,22.000000,0.000000,22.000000
[GET] student 4 Level - ,795,t < 800 ms - ,100,0,800 ms < t < 1200 ms - ,0,0,t > 1200 ms - ,0,0,failed - ,0,181.000000,0.000000,181.000000,0.354911,0.000000,0.354911,104.000000,0.000000,104.000000,80.000000,0.000000,80.000000,795.000000,0.000000,795.000000,97.000000,0.000000,97.000000,130.000000,0.000000,130.000000,139.000000,0.000000,139.000000,152.000000,0.000000,152.000000,17.000000,0.000000,17.000000
└─[GET] teacher User notifications Redirect 1 - ,400,t < 800 ms - ,100,0,800 ms < t < 1200 ms - ,0,0,t > 1200 ms - ,0,0,failed - ,0,161.000000,0.000000,161.000000,0.178571,0.000000,0.178571,72.000000,0.000000,72.000000,50.000000,0.000000,50.000000,400.000000,0.000000,400.000000,68.000000,0.000000,68.000000,94.000000,0.000000,94.000000,109.000000,0.000000,109.000000,124.000000,0.000000,124.000000,17.000000,0.000000,17.000000
[GET] teacher 3 Level - ,400,t < 800 ms - ,100,0,800 ms < t < 1200 ms - ,0,0,t > 1200 ms - ,0,0,failed - ,0,205.000000,0.000000,205.000000,0.178571,0.000000,0.178571,118.000000,0.000000,118.000000,88.000000,0.000000,88.000000,400.000000,0.000000,400.000000,112.000000,0.000000,112.000000,151.000000,0.000000,151.000000,164.000000,0.000000,164.000000,186.000000,0.000000,186.000000,23.000000,0.000000,23.000000
[GET] open random activity Redirect 1 - ,2400,t < 800 ms - ,100,1,800 ms < t < 1200 ms - ,0,0,t > 1200 ms - ,0,0,failed - ,0,868.000000,0.000000,868.000000,1.071875,0.000000,1.071875,239.000000,0.000000,239.000000,176.000000,0.000000,176.000000,2401.000000,0.000000,2401.000000,232.000000,0.000000,232.000000,291.000000,0.000000,291.000000,310.000000,0.000000,310.000000,342.000000,0.000000,342.000000,40.000000,0.000000,40.000000
└─[GET] Course ToC labels JSON - ,3000,t < 800 ms - ,100,0,800 ms < t < 1200 ms - ,0,0,t > 1200 ms - ,0,0,failed - ,0,207.000000,0.000000,207.000000,1.339286,0.000000,1.339286,93.000000,0.000000,93.000000,71.000000,0.000000,71.000000,3000.000000,0.000000,3000.000000,85.000000,0.000000,85.000000,122.000000,0.000000,122.000000,129.000000,0.000000,129.000000,149.000000,0.000000,149.000000,18.000000,0.000000,18.000000
└─[GET] student Tree list Redirect 1 - ,2400,t < 800 ms - ,100,0,800 ms < t < 1200 ms - ,0,0,t > 1200 ms - ,0,0,failed - ,0,781.000000,0.000000,781.000000,1.071429,0.000000,1.071429,323.000000,0.000000,323.000000,256.000000,0.000000,256.000000,2400.000000,0.000000,2400.000000,317.000000,0.000000,317.000000,369.000000,0.000000,369.000000,392.000000,0.000000,392.000000,433.000000,0.000000,433.000000,37.000000,0.000000,37.000000
